10,1.7782,690.5279,2.5720,136.6078,64.9847
32,0.0671,1406.3362,0.1439,181.0985,75.0957
50,0.0175,1466.6760,0.0319,165.1243,71.6364
64,0.0081,1508.4465,0.0187,188.3407,72.3585
100,0.0022,1524.0108,0.0049,189.0262,73.4823
128,0.0009,1368.7628,0.0023,190.7871,73.7148
200,0.0003,1445.1837,0.0006,192.9179,71.0452
256,0.0001,1456.9435,0.0003,193.4348,68.8834
300,0.0001,1475.9327,0.0002,193.6954,69.3780
400,3.06270,1434.72032e-05,0.0001,194.9622,68.6730
512,1.37643,1461.35128e-05,3.763572e-05,194.6498,63.3856
1000,1.68101,1516.78653e-06,5.038281e-06,195.6421,66.3452
