10,0.3097,0.3228,0.2859,0.3269,0.3008
32,0.1909,0.2554,0.2883,0.3123,0.3062
50,0.0299,0.1772,0.1135,0.3147,0.1768
64,0.0214,0.1431,0.0484,0.2521,0.0480
100,0.0724,0.1049,0.0516,0.0500,0.0143
128,0.1484,0.1033,0.0719,0.0248,0.0195
200,0.2222,0.0585,0.2382,0.0476,0.1430
256,0.3168,0.0497,0.2434,0.1032,0.1088
300,0.2335,0.0453,0.2530,0.1810,0.1988
400,0.2134,0.0409,0.2551,0.2421,0.2322
512,0.3382,0.0391,0.2569,0.2483,0.4033
1000,0.2215,0.0856,0.250,0.25547,0.1779,
