
10,8502.2954,2660.5250,9470.9253,10367.9444,4642.3492
32,804.9953,708.8462,1174.0524,431.6664,232.4370
50,394.6964,379.1936,718.1756,167.1037,106.4160
64,271.4106,300.9066,508.2592,111.1399,65.5864
100,2594.8270,228.8158,344.8915,53.3898,38.1644
128,7685.3043,242.1028,905.5909,49.1605,193.7125
200,10637.2428,237.8533,5092.5470,122.9110,1046.3287
256,19655.3406,220.4038,6261.8710,248.7861,1756.9317
300,11971.9988,211.1231,5825.1966,501.4874,1917.5704
400,12291.6987,202.2139,5917.5197,830.7058,2187.2632
512,21646.7479,194.6561,5786.1375,977.5122,8979.3182
1000,13373.5304,527.6354,5856.230,915.54868,2658.1590
